speed_cmd_rad_s,tcomp_scale,delta_theta_deg_mean,delta_theta_deg_std,u_mag_d11_mean,ud_mean_pu,ud_abs_mean_pu,ud_rms_pu,uq_mean_pu,uq_rms_pu,u_mag_mean_pu,u_mag_rms_pu,omega_ref_mean,omega_pll_mean,omega_std,omega_err_rms,iq_ref_abs_mean,iq_ref_rms,iq_meas_abs_mean,iq_meas_rms,bench_current_a,ud_abs_mean_pu_rel_pct,u_mag_mean_pu_rel_pct,omega_std_rel_pct,omega_err_rms_rel_pct,iq_ref_abs_mean_rel_pct,iq_meas_abs_mean_rel_pct,bench_current_a_rel_pct
300,0,0,0,0.1008717634,-0.00749128974000002,0.00749258246000002,0.00778378142531894,0.10052091364,0.100701587372974,0.10081977968,0.101001965696119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
300,1,6.01430608976001,0.022230787815016,0.1009747272,0.0063258319,0.00633374798,0.00676248656172713,0.10074377528,0.100916539128402,0.10097556012,0.101142865385459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.4664227746118,0.154513767531128,NaN,NaN,NaN,NaN,NaN
500,0,0,0,0.13304244995,-0.026847571825,0.026847571825,0.0272775651867295,0.130235474775,0.130910000670462,0.133024426225,0.133721703958071,499.992370999983,499.959938182051,2.44623155125832,2.44644654346909,0.2742520461,0.347530668690305,0.27979495735,0.355201967329947,0.16,0,0,0,0,0,0,0
500,0.75,7.51820725127498,0.0377863266642186,0.1329687568,-0.011537142325,0.011537149675,0.0126231754681885,0.132401442925,0.133111289581435,0.13297276525,0.133708487660494,499.992370999983,499.875899296924,2.48899045570905,2.49171409801123,0.276538725625,0.349972041670791,0.280410342125,0.355429740520883,0.15,-57.0272136705606,-0.038835705942275,1.74795000206487,1.85033900139733,0.833787589743618,0.219941338767726,-6.25
500,0.9,9.02332616542499,0.0441922779308773,0.133221811475,-0.00837894624999998,0.00838755589999998,0.00974117918826053,0.1328613824,0.133497044732259,0.133197293025,0.133851974315056,499.992370999983,499.959021781924,2.39063665853792,2.39086925687951,0.267300639100001,0.341670306302166,0.2716977974,0.3448110464421,0.16,-68.7586052300281,0.129951171303921,-2.27267499234888,-2.27175560970029,-2.5346782636089,-2.89396207375929,0
500,1,10.0259477552,0.0493379517261958,0.133443423125,-0.00655374734999999,0.00666524154999999,0.00831781965875974,0.13358675335,0.13422341647431,0.13382816825,0.134480895608396,499.992370999983,499.956032905626,2.49903985337779,2.49930403230045,0.28872655495,0.363083553375445,0.294592654775,0.370222722554355,0.17,-75.1737639685037,0.604206346013747,2.15876138513176,2.160582211472,5.27781252896171,5.28876487451819,6.25
500,1.1,11.026631615175,0.0557553892925126,0.13299176985,-0.00420889537500001,0.004926258775,0.00668301652851652,0.1328243735,0.133525856981813,0.13297781235,0.133692996706385,499.992370999983,499.875293308775,2.56400711115283,2.56667872002416,0.278632341999999,0.35122560701452,0.281575085199999,0.355953571455897,0.15,-81.6510081168206,-0.0350415907235169,4.81457120581776,4.91456381403621,1.59717893167588,0.636225851552008,-6.25
700,0,0,0,0.16709266775,-0.0595300536750002,0.0595300536750002,0.0599269090295355,0.1559774309,0.156530366296082,0.166996662475,0.167609635531806,699.98474100018,699.828221266076,2.84620265730427,2.85050311235646,0.272738763074999,0.389174966855882,0.304418293475001,0.405242980715731,0.21,0,0,0,0,0,0,0
700,0.75,10.527604585575,0.0451222003691556,0.167072592875,-0.0318944666,0.0318944666,0.0327103932264578,0.163890267925,0.164427379569726,0.167048215775,0.167649436021396,699.98474100018,699.966178382799,2.96147777734005,2.96153595224442,0.2780173709,0.39530812465627,0.3086332415,0.406064080450888,0.2,-46.4229164412896,0.0308708564803695,4.05013746087071,3.89520149641853,1.93540799462713,1.38459091169751,-4.76190476190476
700,0.9,12.630946334275,0.0533103935421173,0.167213741075,-0.026364073925,0.026364073925,0.0272934604027297,0.164912665275,0.165488154017217,0.167089431675,0.167723766646473,699.98474100018,699.846430948899,2.92086681175349,2.92413963453155,0.27462837565,0.389124960768836,0.303123202275,0.397617053457359,0.21,-55.7130015891928,0.0555515293687803,2.6232901672552,2.58328159179655,0.692828754408192,-0.425431463141523,0
700,1,14.03654844125,0.0580689410011634,0.167415614125,-0.0227237713000001,0.0227237713000001,0.0238203690383052,0.165796182825,0.166371782318447,0.16743817015,0.168068375964331,699.98474100018,699.949623753424,2.90378689155741,2.90399923081733,0.286266169050001,0.404037756797399,0.313907939575001,0.410211023579053,0.22,-61.8280685180316,0.264381136997649,2.02319515461609,1.87672548852786,4.95983989312223,3.11730480835217,4.76190476190477
700,1.1,15.44026981345,0.0642800942565379,0.1670145739,-0.01863255565,0.01863255565,0.0199455287173316,0.165903389925,0.166445511020111,0.1670485646,0.167636312549076,699.98474100018,699.954550703975,2.9753356657668,2.97548883008458,0.279092157375001,0.394849966828635,0.3012921532,0.394627226214369,0.21,-68.7005898705837,0.0310797379004857,4.53702789332773,4.38468974779687,2.32947976604807,-1.02692260682336,0
